name,native_name,logo,logo_size,image,image_size,image_caption,type,traded_as,ISIN,foundation,location,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,owner,homepage,module,subsid,parent,native_name_lang,founded,ratio,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,website,map,map_state,embedded,former_name,founder,location_city,area_served,location_country,hq_location_city,hq_location_country,services,divisions,romanized_name,logo_caption,predecessor,brands,num_employees_year,footnotes,aum,logo_upright,hq_location,revenue_year,income_year,net_income_year,assets_year,equity_year,owners,trading_name,rating
China State Construction<br>Engineering Corporation,{{lang|zh-CN|中国建筑集团有限公司}},China State Construction Engineering Corporation logo.svg,140px,"CSCEC Building, Block A (20201125131900).jpg",170px,Headquarters in 2020,[[State-owned enterprise]],CSI A50,,{{start date and age|1957}},,"{{plainlist|
*[[Zheng Xuexuan]] |small|([[Chairman]])|<br>|small|([[Party Secretary]])}} {{small|([[Chairman]])}} <br> {{small|([[Party Secretary]])}}",[[Construction]],,{{increase}} [[US$]] 320.4 billion (2023),,{{decrease}} [[US$]] 4.4 billion (2023),[[US$]] 410.1 billion (2023),,"382,894 (2023)",[[State Council of the People's Republic of China|Central People's Government]],{{Official URL}},,China State Construction Engineering Corporation Limited (56.26%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Beijing]],Worldwide,China,,,,,,Logo,,,,,,,,,,,,,,,
Yangtze Power,,Yangtzepower.png,,,,,[[Public company|Public]],{{ubl|SSE|600900|<hr>|[[SSE 180 Index|SSE MidCap Component]]|CSI A50}} {{SSE|600900}},,{{sda|2002}},,Li Yongan (chairman),[[Hydroelectricity]],,,,,,,,,{{url|http://www.cypc.com.cn}},,,[[China Three Gorges Corporation|China&nbsp;Three&nbsp;Gorges]] (61.92%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Beijing]],China,China,,,,,,,,,,,,,,,,,,,,,
CITIC Securities Company Limited <br /> 中信证券股份有限公司,,CITIC_Securities_Logo.png,150px,SZ 深圳 Shenzhen 福田 Futian 嘉里建設廣場 Kerry Plaza 福華路 Fuhua Road October 2017 IX1 office building facade CITIC Securities Tower.jpg,,Headquarters in Shenzhen,[[Public company|Public]],{{ubl|Shanghai Stock Exchange|600030| (A share)| |Hong Kong Stock Exchange|06030| (H share)|CSI A50}} {{Shanghai Stock Exchange|600030}} (A share) {{Hong Kong Stock Exchange|06030}} (H share),,{{start date and age|1995}},CITIC Securities Tower,,Financial services,,,,,,,,[[CITIC Group]] (15.59%),{{URL|www.cs.ecitic.com}},,[[CLSA]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Shenzhen]],China,China,,,{{Unbulleted list|Investment banking|Securities brokerage}},,,,,,,,,,,,,,,,,,
"East Money Information Co., Ltd",东方财富信息股份有限公司,East Money logo.png,,,,,[[Public company|Public]],{{szse|300059}},,{{start date and age|2005|01|20}},[[Shanghai]],Qi Shi (Chairman),"[[Financial services]], [[Technology company|technology]]",,{{Decrease}} {{CNY|link|=|yes|11.08 billion}} (2023),,{{Decrease}} {{CNY|link|=|yes|8.19 billion}} (2023),{{Increase}} {{CNY|link|=|yes|239.58 billion}} (2023),{{Increase}} {{CNY|link|=|yes|71.96 billion}} (2023),"5,992 (2023)",,{{Official URL}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Qi Shi]],,,China,,,,,,,Shanghai Dong Cai Information Technology,,,,,,,,,,,,,,
GREE Electric Appliances Inc. of Zhuhai,,Gree electric appliances logo.svg,,,,,[[public company|Public]],{{szse|000651}} <br>[[CSI A100 Index|CSI A100]],,,,[[Dong Mingzhu]] (Chairwoman & [[President (corporate title)|President]]),[[Home appliance]]s,[[Major appliances]]<br>[[Small appliances]],$27.9 billion (2022),,$3.7 billion (2022),$44.3 billion (2022),,,,{{ofurl}} <br> {{URL|https://greecomfort.com}},,,,,{{start date and age|1991}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Zhuhai]], [[Guangdong]]",Worldwide,China,,,,,,,,,,,,,,,,,,,,,
"Hangzhou Hikvision Digital Technology Co., Ltd.",,Hikvision logo.svg,,HikvisionHangzhou.jpg,,"Hikvision headquarters in [[Hangzhou, Zhejiang]]",[[Public company|Public]]; partly [[state-owned enterprise|state-owned]],{{SZSE|002415}} <br>[[CSI A100 Index|CSI A100]],,{{start date and age|2001}},"[[Binjiang, Hangzhou]], [[Zhejiang]], China",{{aligned table|Gong Hongjia|(vice-chairman)|ill|Chen&nbsp;Zongnian|zh|陈宗年|(chairman)|Hu&nbsp;Yangzhong|(director)}} {{ill|Chen&nbsp;Zongnian|zh|陈宗年}},[[Video surveillance]]<br />[[Manufacturing industry|Manufacturing]],CCTV and network surveillance systems,,,,,,"42,685","{{aligned table|nowrap|Chinese Central Government|<br />(via [[China Electronics Technology Group#Subsidiaries|China Electronics Technology HIK Group Co., Ltd.]])|(38.88%)|ref| name="":2""|{{cite web|url=http://static.cninfo.com.cn/finalpage/2021-04-17/1209712177.PDF|title=Hikvision 2021 Quarter 1 Report January to March 2021|website=巨潮资讯网|publisher=HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD.|date=17 April 2021|access-date=12 May 2021|archive-date=2021-04-21 |archive-url=https://web.archive.org/web/20210421154353/http://static.cninfo.com.cn/finalpage/2021-04-17/1209712177.PDF|url-status=live}}|</ref>|
|Gong Hongjia|(10.30%)|ref| name="":2""|
|Xinjiang Weixun Investment Management Limited Partnership|(4.82%)|ref| name="":2""}} {{nowrap|Chinese Central Government}} <br />(via [[China Electronics Technology Group#Subsidiaries|China Electronics Technology HIK Group Co., Ltd.]])",,"{{Infobox Chinese |child |=| yes
|s|=|杭州海康威视数字技术股份有限公司
|t|=|杭州海康威視數字技術股份有限公司
|p|=|Hángzhōu Hǎikāng Wēishì Shùzì Jìshù Gǔfèn Yǒuxiàn Gōngsī
|l|=|Hangzhou Hikvision Digital Technology. Company Limited by Shares
|order|=|st
|s2|=|海康威视
|t2|=|海康威視
|p2|=|Hǎikāng Wēishì
|l2|=|HIK–vision|NoteTag|See also in the wiktionary for the individual meaning of the character 威 and 視; the concatenation 威視 has no meaning other than a compound word that is phonetically similar to vision.}} {{NoteTag|See also in the wiktionary for the individual meaning of the character 威 and 視; the concatenation 威視 has no meaning other than a compound word that is phonetically similar to vision.}}",,{{aligned table|CET HIK Group|(direct)|[[China Electronics Technology Group]]|(indirect)|[[State-owned Assets Supervision and Administration Commission|SASAC]]|(ultimate)}},zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|HIK Information Technology|[[Gong Hongjia]]}},,Worldwide,,,,,,,,,"Hiksemi (HikStorage), Ezviz, Hilook, Hiwatch",2021,in a consolidated basis (net assets and net profit excluding minority interests); in Chinese Accounting Standards,,,,,,,,,,,
Industrial and Commercial Bank of China,中国工商银行<br />''Zhōngguó Gōngshāng Yínháng'',Industrial and Commercial Bank of China logo.svg,,File:ICBC ChanganAVe.jpg,,ICBC head office in Beijing,[[Public company|Public]]<br />[[State-owned enterprise|State-owned]],{{ubl|SSE|601398| (A ordinary)|hkse|1398| (H ordinary) |SSE|360011| (CNY preference)|SEHK|84602| ([[Renminbi|CNH]] preference)|SEHK|4603| (US$ preference)|SEHK|4604| (€ preference)|[[Hang Seng Index|Hang Seng Component]]|[[CSI A100 Index|CSI A100]]}} {{SSE|601398}} (A ordinary) {{hkse|1398}} (H ordinary) {{SSE|360011}} (CNY preference) {{SEHK|84602}} ([[Renminbi|CNH]] preference) {{SEHK|4603}} (US$ preference) {{SEHK|4604}} (€ preference),{{ISIN|sl|=|n|pl|=|y|CNE1000003G1}},{{Start date and age|1984}},,"Liao Lin, chairman and president",[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},"{{decrease}} {{CNY|link|=|yes|786.12&nbsp;[[1,000,000,000|billion]]}} <br />$110.12&nbsp;billion {{small|(2024)}}","{{increase}} {{CNY|link|=|yes|417.30&nbsp;[[1,000,000,000|billion]]}} <br />$58.59&nbsp;billion {{small|(2024)}}","{{increase}} {{CNY|link|=|yes|366.94&nbsp;[[1,000,000,000|billion]]}} <br />$51.54&nbsp;billion {{small|(2024)}}",{{increase}} {{CNY|link|=|yes|48.82&nbsp;[[Trillion (short scale)|trillion]]}} US$6.86&nbsp;trillion {{small|(2024)}},{{increase}} {{CNY|link|=|yes|3.97&nbsp;[[Trillion (short scale)|trillion]]}} <br />$557.61&nbsp;billion {{small|(2024)}},"{{decrease}} 419,000 {{small|(2025)}}","{{ubl|[[Chinese Central Government]]|(70.82% voting rights)|– [[Central Huijin Investment]] Co., Ltd (34.71%)|ref| name=α202029|[http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNCDk_3D9KHxKwCGAV4EJTAE-P4AV4HFkQW5oaGiEQaZnuqIiAF07oL0!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/ 中央汇金投资有限责任公司] – ([https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E6%B1%87%E9%87%91%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8&rlz=1C1GCEA_enGB887GB887&oq=%E4%B8%AD%E5%A4%AE%E6%B1%87%E9%87%91%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8&aqs=chrome..69i57.217376j0j4&sourceid=chrome&ie=UTF-8 Central Huijin Investment Co., Ltd]) &  [https://www.banktrack.org/bank/industrial_commercial_bank_of_china Bank Profiles], BankTrack, published November 2016, republished 2019 April 12 – accessdate 7 February 2020|</ref>|– [[Ministry of Finance of the People's Republic of China|Ministry of Finance]] (34.60%)|– [[China Securities Finance]] (1.23%)|[[Temasek Holdings]] (2.44% voting rights)|nowrap|[[National Council for Social Security Fund|NSSF]] (2.43% voting rights)|Others (24.31% voting rights)}} {{nowrap|[[National Council for Social Security Fund|NSSF]] (2.43% voting rights)}}",{{URL|https://www.icbc.com.cn|icbc.com.cn}} <br> {{URL|https://www.icbc-ltd.com/icbcltd/en/|icbc-ltd.com/en}} <br> {{URL|https://www.icbc-us.com|icbc-us.com}},,,,,,{{increase}} 12.87% (CET1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Beijing]],,[[China]],,,,,,,,,,,{{increase}} {{CNY|link|=|yes|6.9&nbsp;[[Trillion (short scale)|trillion]]}} ≈ US$1.0&nbsp;trillion {{small|(2022)}},,,,,,,,,,
Yili Group<br />伊利集团,,Yili Logo.png,,呼和浩特-伊利 - panoramio.jpg,,Yili Office in Hohhot,[[Public Company|Public]]; partly [[state-owned enterprise|state-owned]],{{SSE|600887}} <br>CSI A50,,{{Start date and age|1993}},"[[Hohhot, Inner Mongolia]], China",Pan Gang (Chairman),[[Dairy]],[[Dairy products]],,,,,,,,{{Official URL}},"{{infobox Chinese
|child |=| yes
|s     |=| 内蒙古伊利实业集团股份有限公司
|t     |=| 內蒙古伊利實業集團股份有限公司
|p     |=| Nèi Měnggǔ Yīlì Shíyè Jítuán Gǔfènyǒuxiàngōngsī}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu Hengrui Pharmaceuticals Co. Ltd,,Jiangsu Hengrui Pharmaceuticals.png,,恒瑞医药大楼正面.jpg,,Headquarters in Lianyungang,[[Public company]],{{sse|600276}} <br>CSI A50<br> {{sehk|1276}},,1997,"[[Lianyungang, Jiangsu]], China",[[Sun Piaoyang]] (chairman),[[Pharmaceutical industry|Pharmaceuticals]],,,,,,,"24,500 (2020)",,{{url|www.hengrui.com/}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{flatlist|
*China
*Global}}",,,,,,,,,,,,,0.9,,,,,,,,,
Kweichow Moutai <br/> 贵州茅台,,File:Kweichow_Moutai_Logo.png,,,,,[[public company|Public]] <br /> [[State-Owned Enterprise]],{{sse|600519}} <br>CSI A50,,,,Ding Xiongju <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]])  <br /> ([[Chairman]]),[[Alcohol industry]],[[Baijiu]] <br /> [[Maotai]],{{increase}} (2022) <br /> {{CNY|124.1 billion}} <br /> {{US$| 18.96 billion}},,,,,"31,413 (2022)",[[State-owned Assets Supervision and Administration Commission of the State Council|Guizhou SASAC]] (60.82%),[http://www.moutaichina.com/ moutaichina.com],,bdaxsa,,,{{start date and age|1951}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide,,"<br />[[Renhuai]], [[Guizhou]]",[[China]],,,,,,,,,,,"[[Maotai, Guizhou|Maotai]]",,,,,,,,
Luxshare Precision Industry Co. Ltd.,立讯精密工业股份有限公司,Luxshare.png,,,,,[[Public company|Public]],{{szse|002475}} <br>CSI A50,,,,,Electronic connector manufacturing,Electronic components,"[[US$]] 32,759 million (2023)",,"[[US$]] 1,547 million (2023)","[[US$]] 22,823 million (2023)",,"232,585 (2023)",,,,,,zh-hans,{{start date and age|2004}},,,,,,,,,,,,,,,,,,,,,,,,,{{Official URL}},,,,,[[Wang Laichun]],,,,"[[Bao'an, Shenzhen]], [[Guangdong]]",China,,,,,,,,,,,,,,,,,,,
Luzhou Laojiao <br /> 泸州老窖,,luzhou_laojiao_icon_logo.svg,,,,,[[Public]] <br /> [[State-Owned Enterprise]],{{SZSE|000568}},,{{start date and age|1950}},,Liu Miao <br /> ([[Chairman]]) <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]]),[[Alcoholic Beverage]]s,[[Baijiu]],,,,,,"3,605 (2022)",,[http://www.lzlj.com lzjl.com] (Chinese)<br />[http://en.lzljglobal.com/index.aspx lzljglobal.com] (Global),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Luzhou]], [[Sichuan]]",Worldwide,[[China]],,,,,,,,,,,,,,,,,,,,,
Midea Group,,Midea.svg,230px,Midea Group headquarters.jpg,250px,Headquarters in Beijiao,[[Public company|Public]],{{SZSE|000333}} <br /> {{HKEX|300}} <br>CSI A50,,{{Start date and age|1968}},,[[Paul Fang]] ([[Chairman]]),[[Home appliance]]<br />[[Electrical device]]s,[[Major appliances]]<br />[[Small appliances]],{{nowrap|increase| |CNY|343.4&nbsp;[[billion (short scale)|billion]]|link|=|yes}} {{increase}} {{CNY|343.4&nbsp;[[billion (short scale)|billion]]|link|=|yes}},{{increase}} {{CNY|0|33.281&nbsp;billion}} {{0}} 33.281&nbsp;billion,{{increase}} {{CNY|0|29.015&nbsp;billion}} {{0}} 29.015&nbsp;billion,{{increase}} {{CNY|387.946&nbsp;billion}},{{increase}} {{CNY|0|124.868&nbsp;billion}} {{0}} 124.868&nbsp;billion,"About 150,000",He Xiangjian<br/>(via {{zh|c|=|美的控股|l|=|Midea Holding}} ; 31.51%),{{url|https://www.midea-group.com/|midea-group.com}},"{{Chinese|child|=|yes|s|=|美的集团|t|=|美的集團|p|=|Měidì jítuán|j|=|Mei5dik1 zaap6tyun4|y|=|Méihdīk jaahptyùhn|order|=|st|l|=|Midea Group|altname|=|Midea Group Co., Ltd.|s2|=|美的集团股份有限公司|t2|=|美的集團股份有限公司|p2|=|Měidí jítuán gǔfèn yǒuxiàn gōngsī|j2|=|Mei5dik1 zaap6tyun4 gu2faan2 jau5haan6 gung1si1|y2|=|Méihdīk jaahptyùhn gúfán yáauhhaahn gūngsī|l2|=|Midea Group, Company Limited by Shares}}",{{aligned table|GD Midea|(100%)|[[KUKA]]|(100%)|ref|{{cite press release| url=https://www.kuka.com/en-ca/company/press/news/2022/11/squeeze-out-completed | title=KUKA AG completes Squeeze-out|publisher= KUKA Aktiengesellschaft|date=8 November 2022}}|</ref>|[[Eureka (company)|Eureka]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[He Xiangjian]],"[[Beijiao, Guangdong|Beijiao]], [[Shunde District]], [[Foshan]] city, [[Guangdong]] province",,China,,,,,,,,,2021,,,,,2021,2021,2021,2021,2021,,,
"Mindray Bio-Medical Electronics Co., Ltd.",,Mindray logo (2024).png,,Mindray_headquarter.jpg,,Headquarters in Shenzhen,[[Public company|Public]],{{SZSE|300760}} <br>CSI A50,,{{start date and age|1991}} <br>[[Shenzhen]],,[[Li Xiting]] (chairman)<br />[[Xu Hang]] (co-founder) <br /> Cheng Minghe (executive VP) <br /> Wu Hao (CEO),[[Healthcare industry|Healthcare]],{{Unbulleted list|[[Medical_device_connectivity|IT Solution]]s|[[Monitoring_(medicine)#Medical_monitor|Patient Monitor]]s|[[Medical_ultrasound|Ultrasound System]]s|[[Anaesthetic_machine|Anesthesia Delivery System]]s|[[Total_analysis_system|Total Laboratory Automation (TLA)]]s|[[Hematology_analyzer|Hematology Analyzer]]s|[[Ventilator]]s|[[Automated_external_defibrillator|AED]]s}},{{increase}} {{US$|5.1 Billion|link|=|yes}} (2024),{{increase}} {{US$|1.54 Billion|link|=|yes}} (2024),{{increase}} {{US$|1.46 Billion|link|=|yes}} (2024),,,"21,000 (2025)",,{{URL|http://www.mindray.com/en|mindray.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide,,"[[Shenzhen]], [[Guangdong]]",[[China]],,,,,,,,,,,Mindray Building,,,,,,,,
Muyuan Foodstuff,,,,,,,,CSI A50,,,,,Food,Pork,,,,,,"137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PetroChina Company Limited<br /> {{lang|zh-hans|中国石油天然气股份有限公司}},中国石油天然气股份有限公司,Petrochina logo.svg,,中石油大楼远景.jpg,250px,Headquarters in Beijing,[[State owned enterprise]],{{ubl|SSE|601857|SEHK|857|[[Hang Seng Index]] component}} {{SSE|601857}} {{SEHK|857}},{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE1000007Q1|ISIN|sl|=|n|pl|=|y|CNE1000003W8}} {{ISIN|sl|=|n|pl|=|y|CNE1000007Q1}} {{ISIN|sl|=|n|pl|=|y|CNE1000003W8}},{{Start date and age|1999|11|5|df|=|y}},"[[Dongcheng District, Beijing|Dongcheng District]], [[Beijing]] 
 China",[[Zhou Jiping]] ([[chairman]])<br />Wang Dongjin ([[Chief Executive Officer|CEO]]),[[List of petroleum companies|Oil and gas]],"[[Fuel]]s, [[lubricant]]s, [[natural gas]], [[petrochemical]]s",{{increase}} {{USD|link|=|yes|297 Billion}} (2020),"{{increase}} {{CNY|67,722 million}} (2017)","{{increase}} {{CNY|36,793 million}} (2017)","{{increase}} {{CNY|2,404,612 million}} (2017)","{{increase}} {{CNY|1,381,319 million}} (2017)","506,000 (2019)",,{{URL|http://www.petrochina.com.cn/ptr/|petrochina.com.cn}},"{{Infobox Chinese|child|=|yes
| s |=| 中国石油天然气股份有限公司
| t |=| 中國石油天然氣股份有限公司
| p |=| Zhōngguó Shíyóu Tiānránqì Gǔfèn Yǒuxiàn Gōngsī
| w |=| 
| mi |=| 
| y |=| 
| j |=| 
| order |=| st
| pic |=|}}",[[Singapore Petroleum Company]],[[China National Petroleum Corporation]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide with primary markets in China,,,,,,,,,,,,,.7,,,,,,,,,
Ping An Bank,,Ping An Bank Logo.svg,,Headquarters of Pingan Bank.jpg,,Headquarters in Shenzhen,[[Public company|Public]],{{SZSE|000001}},,{{ubl|start date|1995|6|22|df|=|yes| (Ping An Bank)|start date|1987|12|22|df|=|yes|&nbsp;(S.Z.&nbsp;Dev.&nbsp;Bank)|2012 (merger)}} {{start date|1995|6|22|df|=|yes}} (Ping An Bank) {{start date|1987|12|22|df|=|yes}} &nbsp;(S.Z.&nbsp;Dev.&nbsp;Bank),,,Financial services,,"{{increase}} {{CNY|link|=|yes|96.163&nbsp;[[1,000,000,000|billion]]}}",{{increase}} {{CNY|28.895&nbsp;billion}},{{increase}} {{CNY|21.865&nbsp;billion}},{{increase}} {{CNY|3.42&nbsp;[[Trillion (short scale)|trillion]]}},{{increase}} {{CNY|161.500&nbsp;billion}},,{{ubl|[[Ping An Insurance]] (55.67%)|[[China Securities Finance]] (2.99%)|other shareholders (41.34%)}},,,,[[Ping An Insurance]],,,{{increase}} 9.03% (CET1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide,,[[Shenzhen]],China,Retail and corporate banking,,,,,,,"figures from 2015 Annual Report, please see the report for their definition of revenue, operating income in [[Chinese accounting standards]]; Ping An Life Insurance also held and additional 2.27% as the investment manager for their customers, thus excluding from the stake of Ping An Insurance.",,,,2015,2015,2015,2018,2015,,,
Ping An Insurance,{{lang|zh-CN|中国平安保险}},Ping An English logo 2022.png,175px,Pingan International Finance Center2020.jpg,,Headquarters at [[Ping An International Finance Centre]],[[Public company|Public]],{{ubl|SSE|601318| (A share)|SEHK|2318| (H share)|SEHK|82318| (Yuan share)|CSI A50|[[Hang Seng Index]] component}} {{SSE|601318}} (A share) {{SEHK|2318}} (H share) {{SEHK|82318}} (Yuan share),,{{start date and age|1988}},,"([[chairman]]), [[Xie&nbsp;Yonglin]]&nbsp;([[President (corporate title)|president]]&nbsp;&&nbsp;[[Co-CEO]]), [[Michael&nbsp;Guo]]&nbsp;([[Co-CEO and Senior Vice President]])",[[Financial services]],,"{{increase}} {{CNY|1,141,346&nbsp;Million}}","{{increase}} {{CNY|1,028,925&nbsp;Million}}","{{increase}} {{CNY|126,607&nbsp;Million}}","{{increase}} {{CNY|12,957,827&nbsp;Million}}","{{increase}} {{CNY|1,304,712&nbsp;Million}}","Approx. 273,053",,[https://group.pingan.com https://group.pingan.com],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Ma&nbsp;Mingzhe]],[[Shenzhen]],Worldwide,China,,,{{ubl|[[Insurance]] |[[Life insurance]] |[[Health insurance]] |[[Property insurance]] |[[Casualty Insurance]] |[[Banking]] |[[Asset Management]] |[[Health and senior care]]}},,,,,,,in a consolidated basis,,,,2024,2024,2024,2024,2024,"{{bulleted list |CP Group Ltd. (5.30%) |Shenzhen Investment Holdings Co., Ltd.(5.29%)}} {{ubl|(as of 31 December 2024)
Tencent (52.41%)}}",,
"Shaanxi Coal and Chemical Industry Group Co., Ltd.",,,,,,,State owned,,,{{Start date|2004}},,Hua Wei (former Chairman)<br>Yang Zhaoqian (Chairman),[[Coal mining]],[[Coal]],[[US$]] 74.777 billion (2023),,[[US$]] 1.114 billion (2023),[[US$]] 100.9 billion (2023),,"140,142 (2023)",,{{URL|www.shccig.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Xi'an]],,[[China]],,,,,,,,,,,,,,,,,,,,,
Xinghuacun Fenjiu <br /> 杏花村汾酒,,[[File:Xinghuacun_fenjiu_icon_logo.svg|250px]],,,,,[[Public company|Public]] <br /> [[State-owned enterprise]],{{sse|600809}},,{{start date and age|1949}},,Yuan Qingmao <br/ > ([[Chairman]]) <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]]),[[Alcoholic drink]],Baijiu,{{increase}} (2022) <br /> {{CNY|26.2 billion}} <br /> {{US$|3.9 billion}},,,,,"13,712",,[https://www.fenjiu.com.cn/index.html fenjiu.com.cn],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Xinghuacun, Shanxi|Xinghuacun]], [[Fenyang]], [[Shanxi]]",International,[[China]],,,,,,,,,,,,,,,,,,,,,
"Shenzhen Inovance Technology Co., Ltd",深圳市汇川技术股份有限公司,Shenzhen Inovance Technology.svg,,,,,[[Public company|Public]],{{Szse|300124}} <br>CSI A50,,{{start date and age|2003|04}},"[[Shenzhen]], [[Guangdong]], [[China]]",Zhu Xingming (Chairman & CEO),[[Electrical equipment]],,{{Increase}} {{CNY|link|=|yes|30.42 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|4.78 billion}} (2023),{{Increase}} {{CNY|link|=|yes|48.96 billion}} (2023),{{Increase}} {{CNY|link|=|yes|25.00 billion}} (2023),"23,685 (2023)",,{{URL|www.inovance.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhu Xingming,,,,,,,,,,,,,,,,,,,,,,,Inovance,
"Wanhua Chemical Group Co., Ltd.",,,,,,,Public,{{ubl|SSE|600309|[[SSE 50]] Component|CSI A50}} {{SSE|600309}},,,,Liao Zengtai (Chairman & [[Secretary of Party Committee]]),Chemical,"{{ubl|polymers, e.g.|[[Methylene diphenyl diisocyanate]]}}","{{decrease}} RMB68,050&nbsp;million",,"{{decrease}} RMB10,130&nbsp;million","{{increase}} RMB96,865&nbsp;million","{{increase}} RMB42,364&nbsp;million",{{increase}} 27000,{{aligned table|Yantai Guofeng*|(21.59%)|Prime Partner Int'l|(10.70%)|zh|s|=|中诚投资*|labels|=|no|(10.52%)|zh|s|=|中凯信创业投资*|labels|=|no|(|0|9.61%)}} {{zh|s|=|中诚投资*|labels|=|no}} {{zh|s|=|中凯信创业投资*|labels|=|no}} {{0}} 9.61%),{{url|whchem.com}},"{{Chinese|child|=|yes|s|=|万华化学集团股份有限公司|l|=|Wanhua Chemical Group, Company limited by shares|altname|=|short name|s2|=|万华化学|l2|=|Wanhua Chemical|altname3|=|former name|s3|=|烟台万华聚氨酯股份有限公司|altname4|=|former short name|s4|=|烟台万华}}","[[BorsodChem]], etc.",,,{{start date|1998|12|16|df|=|yes}} in [[Yantai]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{bulleted list|Yantai Wanhua Polyurethane|Yantai Wanhua Polyurethanes}},Wanhua Group Corporation and other investors,Yantai,{{ubl|China|Hungary|exported Worldwide}},China,,,,,,Wanhua Group logo (shared with sister companies),,,2023,"source of data: annual report; in [[consolidated financial statement]]; profit and equity excluding minority interest; in [[Chinese accounting standards]]; owners marked with ""*"" are in the same [[shareholders' agreement]]",,,,2019,,2019,2019,2019,,,"{{aligned table|Baa2|([[Moody's]], March 2019)|ref|{{cite press release|url=https://www.moodys.com/research/Moodys-announces-completion-of-a-periodic-review-of-ratings-of--PR_396245|title= Announcement of Periodic Review: Moody's announces completion of a periodic review of ratings of Wanhua Chemical Group Co., Ltd. |date=12 March 2019|access-date=16 January 2020|publisher=Moody's Investors Service|location=Hong Kong}}|</ref>|BBB|(S&P Global, November 2018)|ref|{{cite news|url=https://www.spglobal.com/marketintelligence/en/news-insights/trending/y7tixfvqlw_bmmsyvyy6kg2|title= S&P upgrades Wanhua Chemical |date=26 November 2018|work=S&P Global Market Intelligence|first=Michael Paolo|last=Jamias|access-date=16 January 2020}}|</ref>}}"
Wens Foodstuff Group,,Wens logo.png,,,,,,,,,,,Food,Pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,
